0,1,2,3,4,5,6,7,8
1,3,5,7,9,11,13,15,17
3,5,7,9,11,13,15,17,19
5,7,9,11,13,15,17,19,21
7,9,11,13,15,17,19,21,23
9,11,13,15,17,19,21,23,25
11,13,15,17,19,21,23,25,27
13,15,17,19,21,23,25,27,29
15,17,19,21,23,25,27,29,31
17,19,21,23,25,27,29,31,33
19,21,23,25,27,29,31,33,35
21,23,25,27,29,31,33,35,37
23,25,27,29,31,33,35,37,39
25,27,29,31,33,35,37,39,41
27,29,31,33,35,37,39,41,43
29,31,33,35,37,39,41,43,45
31,33,35,37,39,41,43,45,47
33,35,37,39,41,43,45,47,49
35,37,39,41,43,45,47,49,51
37,39,41,43,45,47,49,51,53
39,41,43,45,47,49,51,53,55
41,43,45,47,49,51,53,55,57
43,45,47,49,51,53,55,57,59
45,47,49,51,53,55,57,59,61
47,49,51,53,55,57,59,61,63
49,51,53,55,57,59,61,63,65
51,53,55,57,59,61,63,65,67
53,55,57,59,61,63,65,67,69
55,57,59,61,63,65,67,69,71
57,59,61,63,65,67,69,71,73
59,61,63,65,67,69,71,73,75
61,63,65,67,69,71,73,75,77
63,65,67,69,71,73,75,77,79
65,67,69,71,73,75,77,79,81
67,69,71,73,75,77,79,81,83
69,71,73,75,77,79,81,83,85
71,73,75,77,79,81,83,85,87
73,75,77,79,81,83,85,87,89
75,77,79,81,83,85,87,89,91
77,79,81,83,85,87,89,91,93
79,81,83,85,87,89,91,93,95
81,83,85,87,89,91,93,95,97
83,85,87,89,91,93,95,97,99
85,87,89,91,93,95,97,99,101
87,89,91,93,95,97,99,101,103
89,91,93,95,97,99,101,103,105
91,93,95,97,99,101,103,105,107
93,95,97,99,101,103,105,107,109
95,97,99,101,103,105,107,109,111
97,99,101,103,105,107,109,111,113
99,101,103,105,107,109,111,113,115
101,103,105,107,109,111,113,115,117
103,105,107,109,111,113,115,117,119
105,107,109,111,113,115,117,119,121
107,109,111,113,115,117,119,121,123
109,111,113,115,117,119,121,123,125
111,113,115,117,119,121,123,125,127
113,115,117,119,121,123,125,127,129
115,117,119,121,123,125,127,129,131
117,119,121,123,125,127,129,131,133
119,121,123,125,127,129,131,133,135
121,123,125,127,129,131,133,135,137
123,125,127,129,131,133,135,137,139
125,127,129,131,133,135,137,139,141
127,129,131,133,135,137,139,141,143
129,131,133,135,137,139,141,143,145
131,133,135,137,139,141,143,145,147
133,135,137,139,141,143,145,147,149
135,137,139,141,143,145,147,149,151
137,139,141,143,145,147,149,151,153
139,141,143,145,147,149,151,153,155
141,143,145,147,149,151,153,155,157
143,145,147,149,151,153,155,157,159
145,147,149,151,153,155,157,159,161
147,149,151,153,155,157,159,161,163
149,151,153,155,157,159,161,163,165
151,153,155,157,159,161,163,165,167
153,155,157,159,161,163,165,167,169
155,157,159,161,163,165,167,169,171
157,159,161,163,165,167,169,171,173
159,161,163,165,167,169,171,173,175
161,163,165,167,169,171,173,175,177
163,165,167,169,171,173,175,177,179
165,167,169,171,173,175,177,179,181
167,169,171,173,175,177,179,181,183
169,171,173,175,177,179,181,183,185
171,173,175,177,179,181,183,185,187
173,175,177,179,181,183,185,187,189
175,177,179,181,183,185,187,189,191
177,179,181,183,185,187,189,191,193
179,181,183,185,187,189,191,193,195
181,183,185,187,189,191,193,195,197
183,185,187,189,191,193,195,197,199
185,187,189,191,193,195,197,199,201
187,189,191,193,195,197,199,201,203
189,191,193,195,197,199,201,203,205
191,193,195,197,199,201,203,205,207
193,195,197,199,201,203,205,207,209
195,197,199,201,203,205,207,209,211
197,199,201,203,205,207,209,211,213
